Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
Giày thời trang nam NIKE AIR MAX 90,Tiki Trading,2909000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ NIKE NIKE GAMMA FORCE,Tiki Trading,2259000.0,Nike,0.0,0.0,1.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
QUẦN ÂU THỜI TRANG NAM HÀN QUỐC 006129,AFRO Official,2300000.0,AFRO,0.0,0.0,0.0,Quần,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Dép thời trang nam NIKE NIKE CALM SLIDE,Tiki Trading,1259000.0,Nike,0.0,0.0,0.0,Dép,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang có dây Pierre Cardin 787,Pierre Cardin International,1570500.0,Pierre Cardin,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ Nike Zoom Air Winflo - JADE ICE/PICANTE RED-CLEAR JADE-WHITE - 8.5 US,Tiki Trading,2229000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi xách nữ thời trang ELLY – EL233,ELLY,1314200.0,Elly,0.0,0.0,1.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Balo - Túi Du Lịch Thời Trang SAKOS DIAGON,Store Hành Lý,1553000.0,Sakos,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi Xách Du Lịch Thời Trang SAKOS VIGOR,Store Hành Lý,1700000.0,Sakos,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ W NIKE PHOENIX WAFFLE,Tiki Trading,2089000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang có dây Pierre Cardin 790,Pierre Cardin International,1570500.0,Pierre Cardin,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE AIR MAX 270 - ANTHRACITE/PHOTO BLUE-BLACK-WHITE - 9 US,Tiki Trading,3569000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE NIKE P-6000,Tiki Trading,2409000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi xách nữ thời trang ELLY – EL248,ELLY,1304100.0,Elly,1.0,5.0,2.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE AIR MAX EXCEE,Tiki Trading,2089000.0,Nike,5.0,5.0,26.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ NIKE W KILLSHOT 2,Tiki Trading,2379000.0,Nike,1.0,5.0,1.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đầm thời trang cao cấp F'Amor (đỏ) - M,PAMORE,1360000.0,F'Amor,0.0,0.0,0.0,Đầm,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Balo thời trang SAKOS LUXER - Hàng Chính Hãng,Balonation,1408000.0,Sakos,0.0,0.0,0.0,Balo/Cặp,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ NIKE W NIKE CORTEZ,Tiki Trading,2229000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi xách nữ thời trang ELLY – EL249,ELLY,1454000.0,Elly,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi xách nữ thời trang Elly – EL231,ELLY,1724000.0,Elly,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ WMNS NIKE GAMMA FORCE - SAIL/LIGHT SILVER-SEA GLASS-COCONUT MILK - 8 US,Tiki Trading,1889000.0,Nike,3.0,5.0,10.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE AIR PEGASUS '89,Tiki Trading,2219000.0,Nike,0.0,0.0,5.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ NIKE NIKE GAMMA FORCE,Tiki Trading,2259000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi xách nữ thời trang ELLY – EL260,ELLY,1354000.0,Elly,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi Đeo Chéo Nam Thời Trang SAKOS JUVANIS,Store Hành Lý,1280000.0,Sakos,0.0,0.0,1.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Cặp Laptop Công Sở Thời Trang SAKOS ASTRO,Store Hành Lý,2200000.0,Sakos,0.0,0.0,0.0,Balo/Cặp,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Mũ vành thời trang NÓN SƠN chính hãng MH017-XH1,Thời Trang Nón Sơn Official,1400000.0,Nón Sơn,0.0,0.0,0.0,Nón/Mũ,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ NIKE WMNS NIKE GAMMA FORCE,Tiki Trading,1889000.0,Nike,1.0,5.0,4.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Balo Du Lịch Thời Trang Cao Cấp SAKOS LUXER,SAKOS Official Store,1563080.0,Sakos,7.0,4.0,48.0,Balo/Cặp,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Balo Du Lịch Thời Trang Cao Cấp SAKOS TRENDY,SAKOS Official Store,1637600.0,Sakos,1.0,5.0,1.0,Balo/Cặp,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Đồng hồ thời trang nữ Starke SK140PL,BẢO LÂM WATCH,2250000.0,Starke,0.0,0.0,0.0,Đồng Hồ,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE BLAZER LOW '77 PRM,Tiki Trading,1740000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ W NIKE AIR MAX SYSTM - SAIL/CAMPFIRE ORANGE-LT OREWOOD BRN - 8.5 US,Tiki Trading,1979000.0,Nike,0.0,0.0,4.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Dép thời trang Nữ NIKE W NIKE CALM SLIDE,Tiki Trading,1259000.0,Nike,0.0,0.0,0.0,Dép,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE NIKE COURT LEGACY CNVS,Tiki Trading,1369000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang Nữ WMNS NIKE AIR MAX EXCEE,Tiki Trading,2179000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
