Product ID,Product Name,Price,Currency,Rating,Total Ratings,Fit
E464420-000,Áo Bra Top Dáng Lửng | Kẻ Sọc,489000.0,VND,4.88,245.0,3.0
E475512-000,Áo Bra Top Cổ Yếm | Kẻ Sọc,489000.0,VND,4.91,86.0,3.02
E473985-000,Áo Bra Top Dáng Lửng | Không Tay,489000.0,VND,,,
E470939-000,Áo Bra Top Cổ Yếm,489000.0,VND,4.87,556.0,3.04
E464437-000,AIRism Cotton Áo Bra Quây Dáng Ngắn,489000.0,VND,4.82,336.0,2.91
E465707-000,AIRism Áo Bra Hai Dây,489000.0,VND,4.9,264.0,3.03
E476370-000,Áo Thun Bra Vải Gân Dáng Ngắn Cổ Vuông,489000.0,VND,4.85,179.0,2.98
E475629-000,Áo Ngực Không Gọng | Thể Thao,489000.0,VND,5.0,9.0,2.89
E477293-000,UT NY POP ART Áo Thun | Basquiat,391000.0,VND,,,
E477292-000,UT NY POP ART Áo Thun | Basquiat,391000.0,VND,,,
E477291-000,UT NY POP ART Áo Thun | Basquiat,391000.0,VND,5.0,1.0,4.0
E477290-000,UT NY POP ART Áo Thun | Keith,391000.0,VND,,,
E477289-000,UT NY POP ART Áo Thun | Keith,391000.0,VND,,,
E477288-000,UT NY POP ART Áo Thun | Keith,391000.0,VND,,,
E477287-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0,VND,,,
E477286-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0,VND,,,
E474416-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0,VND,,,
E475162-002,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0,VND,,,
E475162-001,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0,VND,,,
E475162-000,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0,VND,,,
E477148-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0,VND,4.93,29.0,3.21
E477147-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0,VND,5.0,13.0,3.15
E477146-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0,VND,4.83,6.0,3.0
E474425-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0,VND,4.94,18.0,2.94
E477501-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0,VND,3.0,1.0,3.0
E477488-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0,VND,,,
E477487-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0,VND,,,
E476138-000,MAGIC FOR ALL x Yu Nagaba Áo Hoodie Nỉ,588000.0,VND,4.8,10.0,3.2
E475334-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,4.73,15.0,3.07
E475333-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,4.81,16.0,3.19
E475332-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,5.0,11.0,2.91
E475331-000,MAGIC FOR ALL x Yu Nagaba Áo Hoodie Nỉ,588000.0,VND,4.33,6.0,3.33
E475330-000,MAGIC FOR ALL x Yu Nagaba Áo Hoodie Nỉ,588000.0,VND,5.0,6.0,3.0
E475329-000,MAGIC FOR ALL x Yu Nagaba Áo Nỉ,784000.0,VND,5.0,14.0,3.43
E475328-000,MAGIC FOR ALL x Yu Nagaba Áo Nỉ,784000.0,VND,4.93,27.0,3.04
E475327-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,4.36,11.0,2.91
E475326-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,5.0,9.0,3.44
E475325-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun,391000.0,VND,4.89,9.0,3.22
E474872-000,MAGIC FOR ALL x Yu Nagaba Áo Hoodie Nỉ,588000.0,VND,4.73,11.0,3.27
E473372-000,MAGIC FOR ALL x Yu Nagaba Áo Nỉ,784000.0,VND,4.95,19.0,3.05
E466955-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun Ngắn Tay,391000.0,VND,4.83,12.0,3.17
E466944-000,UT MAGIC FOR ALL x Yu Nagaba Áo Thun Ngắn Tay,391000.0,VND,5.0,10.0,3.1
E475084-000,PEANUTS Áo Nỉ,784000.0,VND,,,
E475083-000,PEANUTS Áo Nỉ,784000.0,VND,5.0,1.0,4.0
E475082-000,PEANUTS Áo Nỉ,784000.0,VND,,,
E475081-000,PEANUTS Áo Nỉ,784000.0,VND,5.0,1.0,3.0
E475080-000,UT PEANUTS Áo Thun | Dáng Rộng,391000.0,VND,4.75,4.0,3.5
E475079-000,UT PEANUTS Áo Thun | Dáng Rộng,391000.0,VND,5.0,4.0,3.75
