Product ID,Product Name,Price,Currency,URL,Rating,Total Ratings,Fit
E472870-000,Áo Thun Gân Cổ Cao | Kẻ Sọc,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E472870-000?colorCode=COL01&sizeCode=SMA002,5,5,3
E470143-000,Áo Giả Lông Cừu Đan Len Mềm Cổ Tròn,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E470143-000?colorCode=COL01&sizeCode=SMA002,4.9,115,3.18
E470126-000,Áo Thun Gân Cổ Cao,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E470126-000?colorCode=COL01&sizeCode=SMA002,4.92,25,3.04
E476771-000,SUPIMA Cotton Áo Thun | Không Tay,293000.0000,VND,https://www.uniqlo.com/vn/vi/products/E476771-000?colorCode=COL00&sizeCode=SMA003,5,13,3.08
E472868-000,Áo Thun Vải Cotton Mềm Dáng Relax | Kẻ Sọc,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E472868-000?colorCode=COL01&sizeCode=SMA003,4.82,65,3.22
E472556-000,Áo Thun Vải Pointelle | Cổ Henley,293000.0000,VND,https://www.uniqlo.com/vn/vi/products/E472556-000?colorCode=COL00&sizeCode=SMA002,4.88,104,3.14
E470129-000,Áo Thun Vải Cotton Mềm Dáng Relax,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E470129-000?colorCode=COL00&sizeCode=SMA004,4.88,17,3.35
E470123-000,Áo Thun Cotton Mềm Co Giãn,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E470123-000?colorCode=COL00&sizeCode=SMA002,5,21,3.05
E469751-000,HEATTECH Extra Warm Cotton Áo Giữ Nhiệt | Cổ Tròn,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E469751-000?colorCode=COL01&sizeCode=SMA002,4.88,72,3.06
E467363-000,Áo Thun Gân Mềm Cổ Tròn | Kẻ Sọc,293000.0000,VND,https://www.uniqlo.com/vn/vi/products/E467363-000?colorCode=COL01&sizeCode=SMA002,4.92,215,3.03
E465756-000,Áo Thun Gân Mềm Cổ Tròn,293000.0000,VND,https://www.uniqlo.com/vn/vi/products/E465756-000?colorCode=COL00&sizeCode=SMA002,4.89,314,3.06
E449860-000,Áo Thun Vải Waffle Cổ Tròn,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E449860-000?colorCode=COL00&sizeCode=SMA002,4.87,668,3.23
E442063-000,HEATTECH Áo Giữ Nhiệt Giả Lông Cừu | Cổ Lọ,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E442063-000?colorCode=COL01&sizeCode=SMA002,4.85,506,3.04
E476969-000,Áo Polo Dáng Lửng,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E476969-000?colorCode=COL01&sizeCode=SMA002,4.9,39,3.15
E476258-000,Áo Polo Dáng Lửng | Kẻ Sọc,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E476258-000?colorCode=COL10&sizeCode=SMA002,5,14,3.14
E473162-000,Áo Polo Vải Dry Pique | 2 Màu,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E473162-000?colorCode=COL09&sizeCode=SMA002,4.83,24,3.08
E472592-000,Áo Polo Vải Dry Pique | Kẻ Sọc,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E472592-000?colorCode=COL04&sizeCode=SMA002,4.67,12,3.08
E469052-000,Áo Polo Vải Dry Pique | Tipping,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E469052-000?colorCode=COL00&sizeCode=SMA002,4.89,150,3.05
E466816-000,Áo Polo Vải Dry Pique | Kẻ Sọc,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E466816-000?colorCode=COL00&sizeCode=SMA002,4.86,88,3.11
E465601-000,AIRism Cotton Áo Polo Vải Gân,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E465601-000?colorCode=COL01&sizeCode=SMA002,4.86,203,2.91
E455388-000,Áo Polo Vải Dry Pique,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E455388-000?colorCode=COL00&sizeCode=SMA002,4.84,1120,3.09
E471220-000,Áo Polo Dệt Kim Vải Gân Có Thể Giặt Máy,588000.0000,VND,https://www.uniqlo.com/vn/vi/products/E471220-000?colorCode=COL58&sizeCode=SMA003,4.95,112,3
E469483-000,Áo Polo Cardigan Len Merino,686000.0000,VND,https://www.uniqlo.com/vn/vi/products/E469483-000?colorCode=COL01&sizeCode=SMA002,2.33,3,3
E465193-000,AIRism Cotton Áo Thun,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E465193-000?colorCode=COL00&sizeCode=SMA002,4.79,298,3.15
E465185-000,AIRism Cotton Áo Thun Dáng Rộng | Tay Lỡ,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E465185-000?colorCode=COL00&sizeCode=SMA002,4.87,1611,3.17
E461914-000,AIRism Cotton Áo Thun Dáng Rộng | Kẻ Sọc,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E461914-000?colorCode=COL00&sizeCode=SMA002,4.85,758,3.14
E422992-000,Áo Thun Cổ Tròn,293000.0000,VND,https://www.uniqlo.com/vn/vi/products/E422992-000?colorCode=COL00&sizeCode=SMA002,4.81,3760,3.08
E471696-000,Áo Bra Top Dáng Lửng | Ringer,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E471696-000?colorCode=COL00&sizeCode=SMA002,4.92,161,3.02
E464426-000,Áo Bra Dáng Lửng Không Tay,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E464426-000?colorCode=COL00&sizeCode=SMA002,4.9,555,3.07
E464420-000,Áo Bra Top Dáng Lửng | Kẻ Sọc,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E464420-000?colorCode=COL01&sizeCode=SMA003,4.88,245,3
E475512-000,Áo Bra Top Cổ Yếm | Kẻ Sọc,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E475512-000?colorCode=COL01&sizeCode=SMA003,4.91,86,3.02
E473985-000,Áo Bra Top Dáng Lửng | Không Tay,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E473985-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E470939-000,Áo Bra Top Cổ Yếm,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E470939-000?colorCode=COL00&sizeCode=SMA003,4.87,556,3.04
E464437-000,AIRism Cotton Áo Bra Quây Dáng Ngắn,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E464437-000?colorCode=COL00&sizeCode=SMA002,4.82,336,2.91
E465707-000,AIRism Áo Bra Hai Dây,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E465707-000?colorCode=COL00&sizeCode=SMA003,4.9,264,3.03
E476370-000,Áo Thun Bra Vải Gân Dáng Ngắn Cổ Vuông,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E476370-000?colorCode=COL00&sizeCode=SMA002,4.85,179,2.98
E475629-000,Áo Ngực Không Gọng | Thể Thao,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E475629-000?colorCode=COL09&sizeCode=SMA003,5,9,2.89
E477293-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477293-000?colorCode=COL08&sizeCode=SMA002,N/A,N/A,N/A
E477292-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477292-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E477291-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477291-000?colorCode=COL01&sizeCode=SMA002,5,1,4
E477290-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477290-000?colorCode=COL09&sizeCode=SMA002,N/A,N/A,N/A
E477289-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477289-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E477288-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477288-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E477287-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477287-000?colorCode=COL09&sizeCode=SMA002,N/A,N/A,N/A
E477286-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477286-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E474416-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E474416-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A
E475162-002,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E475162-002?colorCode=COL50&sizeCode=SIZ999,N/A,N/A,N/A
