Product ID,Product Name,Price,Currency,Colors,URL,Rating,Total Ratings,Fit,Rating Count
E469871-000,PUFFTECH Áo Khoác Chần Bông | Có Mũ,1471000.0000,VND,"['DARK GRAY', 'BLACK', 'NATURAL', 'PURPLE']",https://www.uniqlo.com/vn/vi/products/E469871-000?colorCode=COL08&sizeCode=SMA002,4.89,56,3.14,"{'one': 1, 'two': 0, 'three': 0, 'four': 2, 'five': 53}"
E469864-000,PUFFTECH Áo Khoác Chần Bông Dáng Relax,1471000.0000,VND,"['BLACK', 'NATURAL', 'BEIGE', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E469864-000?colorCode=COL09&sizeCode=SMA002,5,4,3,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 4}"
E469862-000,PUFFTECH Áo Khoác Chần Bông Gọn Nhẹ,1275000.0000,VND,"['OFF WHITE', 'BLACK', 'PINK', 'BEIGE', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E469862-000?colorCode=COL01&sizeCode=SMA002,N/A,N/A,N/A,{}
E469863-000,PUFFTECH Áo Gile Chần Bông Gọn Nhẹ,980000.0000,VND,"['OFF WHITE', 'BLACK', 'BEIGE', 'BROWN', 'LIGHT PURPLE']",https://www.uniqlo.com/vn/vi/products/E469863-000?colorCode=COL01&sizeCode=SMA002,5,1,3,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 1}"
E469869-000,Áo Khoác Phao Lông Vũ Siêu Nhẹ,1471000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'PINK', 'WINE', 'BEIGE', 'DARK GREEN']",https://www.uniqlo.com/vn/vi/products/E469869-000?colorCode=COL01&sizeCode=SMA002,4.79,28,3.32,"{'one': 1, 'two': 0, 'three': 0, 'four': 2, 'five': 25}"
E469896-000,Seamless Down Áo Parka,2944000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'BEIGE', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E469896-000?colorCode=COL01&sizeCode=SMA002,4.58,12,3.5,"{'one': 0, 'two': 0, 'three': 2, 'four': 1, 'five': 9}"
E472014-000,Áo Phao Gile Dáng Lửng,1275000.0000,VND,"['BLACK', 'PINK', 'BEIGE', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E472014-000?colorCode=COL09&sizeCode=SMA003,4.73,11,3.27,"{'one': 0, 'two': 0, 'three': 1, 'four': 1, 'five': 9}"
E469901-000,Powder Soft Down Áo Phao,1962000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E469901-000?colorCode=COL01&sizeCode=SMA002,N/A,N/A,N/A,{}
E476248-000,Áo Thun Mini | Kẻ Sọc,293000.0000,VND,"['BEIGE', 'DARK GREEN', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E476248-000?colorCode=COL31&sizeCode=SMA002,4.88,122,3.07,"{'one': 0, 'two': 0, 'three': 2, 'four': 11, 'five': 109}"
E474411-000,AIRism Áo Thun Vải Mềm Dáng Lửng,293000.0000,VND,"['PINK', 'BLUE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E474411-000?colorCode=COL12&sizeCode=SMA002,N/A,N/A,N/A,{}
E465762-000,AIRism Áo Thun Siêu Co Giãn Dáng Lửng,293000.0000,VND,"['WHITE', 'BLACK', 'NATURAL', 'BROWN']",https://www.uniqlo.com/vn/vi/products/E465762-000?colorCode=COL00&sizeCode=SMA002,4.87,1040,2.87,"{'one': 3, 'two': 3, 'three': 14, 'four': 86, 'five': 934}"
E465760-000,Áo Thun Mini,293000.0000,VND,"['WHITE', 'GRAY', 'BLACK', 'PINK', 'NATURAL', 'DARK GREEN', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E465760-000?colorCode=COL00&sizeCode=SMA002,4.89,1328,2.95,"{'one': 6, 'two': 5, 'three': 11, 'four': 87, 'five': 1219}"
E465755-000,AIRism Cotton Áo Thun,293000.0000,VND,"['WHITE', 'LIGHT GRAY', 'BLACK', 'PINK', 'RED', 'LIGHT ORANGE', 'NATURAL', 'KHAKI', 'CREAM', 'LIGHT BLUE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E465755-000?colorCode=COL00&sizeCode=SMA002,4.89,1132,3.13,"{'one': 6, 'two': 1, 'three': 12, 'four': 73, 'five': 1040}"
E424873-000,Áo Thun Cổ Tròn,293000.0000,VND,"['WHITE', 'DARK GRAY', 'BLACK', 'PINK', 'PINK', 'LIGHT ORANGE', 'NATURAL', 'BEIGE', 'DARK BROWN', 'GREEN', 'DARK GREEN', 'NAVY', 'PURPLE']",https://www.uniqlo.com/vn/vi/products/E424873-000?colorCode=COL00&sizeCode=SMA002,4.88,5194,3.02,"{'one': 43, 'two': 15, 'three': 54, 'four': 299, 'five': 4783}"
E472870-000,Áo Thun Gân Cổ Cao | Kẻ Sọc,391000.0000,VND,"['OFF WHITE', 'BLACK']",https://www.uniqlo.com/vn/vi/products/E472870-000?colorCode=COL01&sizeCode=SMA002,5,5,3,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 5}"
E470143-000,Áo Giả Lông Cừu Đan Len Mềm Cổ Tròn,391000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'PINK', 'BEIGE', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E470143-000?colorCode=COL01&sizeCode=SMA002,4.9,115,3.18,"{'one': 0, 'two': 0, 'three': 2, 'four': 7, 'five': 106}"
E470126-000,Áo Thun Gân Cổ Cao,391000.0000,VND,"['OFF WHITE', 'LIGHT GRAY', 'BLACK', 'PINK', 'BROWN', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E470126-000?colorCode=COL01&sizeCode=SMA002,4.92,25,3.04,"{'one': 0, 'two': 0, 'three': 0, 'four': 2, 'five': 23}"
E476771-000,SUPIMA Cotton Áo Thun | Không Tay,293000.0000,VND,"['WHITE', 'BLACK', 'PINK', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E476771-000?colorCode=COL00&sizeCode=SMA003,5,13,3.08,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 13}"
E472868-000,Áo Thun Vải Cotton Mềm Dáng Relax | Kẻ Sọc,391000.0000,VND,"['OFF WHITE', 'BROWN', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E472868-000?colorCode=COL01&sizeCode=SMA003,4.82,65,3.22,"{'one': 2, 'two': 0, 'three': 0, 'four': 4, 'five': 59}"
E472556-000,Áo Thun Vải Pointelle | Cổ Henley,293000.0000,VND,"['WHITE', 'GRAY', 'BLACK', 'PINK', 'OLIVE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E472556-000?colorCode=COL00&sizeCode=SMA002,4.88,104,3.14,"{'one': 0, 'two': 2, 'three': 0, 'four': 6, 'five': 96}"
E470129-000,Áo Thun Vải Cotton Mềm Dáng Relax,391000.0000,VND,"['WHITE', 'BLACK']",https://www.uniqlo.com/vn/vi/products/E470129-000?colorCode=COL00&sizeCode=SMA004,4.88,17,3.35,"{'one': 0, 'two': 0, 'three': 0, 'four': 2, 'five': 15}"
E470123-000,Áo Thun Cotton Mềm Co Giãn,391000.0000,VND,"['WHITE', 'DARK GRAY', 'BLACK', 'PINK', 'WINE', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E470123-000?colorCode=COL00&sizeCode=SMA002,5,21,3.05,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 21}"
E469751-000,HEATTECH Extra Warm Cotton Áo Giữ Nhiệt | Cổ Tròn,489000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'PINK', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E469751-000?colorCode=COL01&sizeCode=SMA002,4.88,72,3.06,"{'one': 0, 'two': 0, 'three': 1, 'four': 7, 'five': 64}"
E467363-000,Áo Thun Gân Mềm Cổ Tròn | Kẻ Sọc,293000.0000,VND,"['OFF WHITE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E467363-000?colorCode=COL01&sizeCode=SMA002,4.92,215,3.03,"{'one': 0, 'two': 0, 'three': 2, 'four': 14, 'five': 199}"
E465756-000,Áo Thun Gân Mềm Cổ Tròn,293000.0000,VND,"['WHITE', 'BLACK', 'PINK', 'ORANGE', 'BEIGE', 'OLIVE']",https://www.uniqlo.com/vn/vi/products/E465756-000?colorCode=COL00&sizeCode=SMA002,4.89,314,3.06,"{'one': 1, 'two': 2, 'three': 1, 'four': 22, 'five': 288}"
